brand,perfume,notes
Jimmy Choo,Jimmy Choo Exotic 2014,"passion flower, orchid, patchouli, raspberry, black currant, grapefruit"
Jimmy Choo,Jimmy Choo Exotic 2015,"passion flower, orchid, raspberry, patchouli, black currant, pink grapefruit"
Jimmy Choo,Jimmy Choo Exotic 2016,"passion flower, orchid, raspberry, patchouli, black currant, pink grapefruit"
Jimmy Choo,Jimmy Choo L Eau,"nectarine, peony, cedar, musk, hibiscus, bergamot"
Jimmy Choo,Jimmy Choo Limited Edition Parfum,"orchid, patchouli, toffee, orange"
Jimmy Choo,Jimmy Choo Love,"orchid, toffee, patchouli, pear, sweet orange"
Jimmy Choo,Jimmy Choo Man,"pink pepper, pineapple leaf, melon, lavender, suede, patchouli"
Jimmy Choo,Jimmy Choo Man Intense,"artemisia, black pepper, geranium, tonka bean, patchouli, labdanum, lavender, melon, mandarin orange"
Jimmy Choo,Jimmy Choo Parfum,"orchid, toffee, patchouli, sandalwood, amber, sweet orange"
Jimmy Choo,Stars,"orchid, toffee, sandalwood, patchouli, orange, candied orange"
Jimmy Choo,Stars Edition 2015,"orchid, toffee, pear, candied orange"
Jimmy Choo,Blossom,"sweet pea, rose, sandalwood, white musk, citruses, red berries, raspberry"
Jimmy Choo,Flash,"tuberose, jasmine, white lily, white wood, heliotrope, big strawberry, pink pepper, tangerine"
Jimmy Choo,Flash London Club,"tuberose, white flowers, woody notes, musk, bergamot, litchi"
Jimmy Choo,Illicit,"rose, jasmine sambac, orange blossom, amber, honey, sandalwood, caramel, cashmere wood, vanilla, ginger, bitter orange"
Jimmy Choo,Illicit Flower,"grapefruit blossom, jasmine, rose, sandalwood, cashmere wood, musk, apricot, mandarin orange"
JLS,JLS Kiss,"jasmine, tuberose, neroli, black orchid, crystal amber, white musk, patchouli, oakmoss, peach, tayberry, cassis"
JLS,JLS Love,"orchid, rose, jasmine, orange blossom, musk, vanilla, cedar, bergamot, white tea"
Jo Kemby POGOPOGO,POGOPOGO Classic,"nutmeg, sea water, lavender, jasmine, musk, patchouli, virginia cedar, cardamom, amalfi lemon, red apple, melon"
Jo Kemby POGOPOGO,POGOPOGO Limited,"sage, clove, cinnamon, pink pepper, musk, sandalwood, virginia cedar, tonka bean, vanille, lavender, bergamot, yuzu, granny smith apple"
Jo Loves,A Shot Of Oud Over Mango,"freesia, agarwood (oud), mango, black pepper"
Jo Loves,Fresh Sweet Peas,"pear, rose petals, marigold, cypress, ylang-ylang, orange, bitter orange"
Jo Loves,Gardenia,"ylang-ylang, gardenia, narcissus, jasmine sambac, coumarin, heliotrope, musk, bergamot, gardenia"
Jo Loves,Green Orange Coriander,"coriander, coriander leaf, oakmoss, tonka bean, bitter orange, black pepper"
Jo Loves,Mango Nectar,"mango, apricot blossom, jasmine, musk, bitter orange, pink grapefruit, mango"
Jo Loves,Mango Thai Lime,"freesia, mint, thyme, vetiver, mango, lime, black pepper"
Jo Loves,No 42 The Flower Shop,"lily-of-the-valley, freesia, jasmine, narcissus, iris, white musk, moss, patchouli, green leaves, mandarin orange, peony"
Jo Loves,Orange Tulle,"mint, neroli, petitgrain, musk, orange blossom, mandarin orange"
Jo Loves,Pink Vetiver,"pink pepper, cardamom, nutmeg, cumin, juniper berries, vetiver, amber, ginger, angelica"
Jo Loves,Pomelo,"clove, vetiver, suede, patchouli, pomelo, rose"
Jo Loves,Red Truffle 21,"tuber, citruses, fig, pine"
Jo Loves,Shards of Cedar Red Thyme,"cedar, red thyme"
Jo Loves,Smoked Plum Leather,"plum, liquor, smoke, cedar, cinnamon, leather"
Jo Loves,White Rose Lemon Leaves,"lemon leaf, white rose"
Jo Malone,154 Cologne,"lavender, basil, nutmeg, patchouli, vetiver, musk, vanilla, bergamot, grapefruit, mandarin orange"
Jo Malone,Amber Lavender,"lily-of-the-valley, clove, cinnamon, myrhh, patchouli, amber, bergamot, lavender, mint"
Jo Malone,Basil Neroli,"neroli, vetiver, white musk, basil"
Jo Malone,Black Vetyver Cafe,"nutmeg, coriander, pepper, vetyver, sandalwood, sequoia, vanille, incense, coffee, citruses"
Jo Malone,Blackberry Bay,"grapefruit, floral notes, vetiver, cedar, blackberry, bay leaf"
Jo Malone,Blue Agava Cacao,"lily, orchid, geranium, vanilla pod, cinnamon, musk, vetiver, cacao, lime (linden) blossom, grapefruit, red berries, cardamom"
Jo Malone,English Pear Freesia,"freesia, rose, musk, patchouli, amber, rhuburb, melon, pear"
Jo Malone,French Lime Blossom,"tarragon, lime (linden) blossom, jasmine, rose, lily-of-the-valley, beeswax, bergamot, petitgrain"
Jo Malone,Grapefruit,"rosemary, mint, paprika, jasmine, vetiver, patchouli, oakmoss, grapefruit, tangerine"
Jo Malone,Honeysuckle Jasmine,"iris, jasmine, honeysuckle, rose, lily-of-the-valley, sandalwood, hyacinth, cassis, neroli, galbanum"
Jo Malone,Lime Basil Mandarin,"basil, lilac, iris, thyme, patchouli, vetiver, lime, mandarin orange, bergamot"
Jo Malone,Lotus Blossom Water Lily,"honeysuckle, freesia, jasmine, water lily, lotus, sandalwood, amber, musk, guaiac wood, incense, mandarin orange, grapefruit, bergamot"
Jo Malone,Mimosa Cardamom,"mimosa, tonka bean, cardamom"
Jo Malone,Nashi Blossom,"pear blossom, rose, white musk, lemon"
Jo Malone,Nectarine Blossom Honey,"nectarine, black locust, vetiver, peach, plum, green notes, black currant, petitgrain"
Jo Malone,Nutmeg Ginger,"nutmeg, ginger, sandalwood, cedar"
Jo Malone,Orange Bitters,"citruses, orange, mandarin orange, bitter orange, dried plum, sandalwood, amber"
Jo Malone,Orange Blossom,"african orange flower, lotus, lilac, citron, green notes, clementine"
Jo Malone,Osmanthus Blossom,"osmanthus, cashmere wood, petitgrain"
Jo Malone,Peony Blush Suede,"peony, jasmine, carnation, rose, suede, red apple"
Jo Malone,Plum Blossom,"plum blossom, sandalwood, musk"
Jo Malone,Pomegranate Noir,"lily-of-the-valley, jasmine, rose, pink pepper, clove, olibanum, opoponax, guaiac wood, virginia cedar, patchouli, musk, amber, raspberry, pomegranate, plum, rhuburb, watermelon"
Jo Malone,Pomegranate Noir Christmas Edition,"casablanca lily, jasmine, lily-of-the-valley, rose, pink pepper, cardamon, olibanum, opoponax, guaiac wood, cedar, patchouli, musk, amber, pomegranate, raspberry, plum, rhubarb, watermelon"
Jo Malone,Red Roses,"violet leaf, bulgarian rose, beeswax, lemon, mint"
Jo Malone,Sakura Cherry Blossom,"rose, mimosa, cherry blossom, woodsy notes, musk, bergamot, mandarin orange"
Jo Malone,Silk Blossom,"silk tree blossom, jasmine, rose petals, moss, heliotrope, white pepper, bergamot, apricot"
Jo Malone,Sweet Lime Cedar,"sage, lavender, coconut, jasmine, gardenia, ylang-ylang, cardamom, coriander, cedar, amber, tamarind, tonka bean, lime, blood orange, pomelo, passionfruit, pink pepper"
Jo Malone,Tuberose,"jasmine, tuberose, peach, sandalwood, oakmoss, african orange flower"
Jo Malone,Vanilla Anise,"tuberose, frangipani, orchid, jasmine, clove, amber, vanilla, tonka bean, vetiver, bergamot, neroli, star anise, fennel"
Jo Malone,Verbenas of Provence,"rose, juniper berries, cypress, , amalfi lemon, lemon verbena"
Jo Malone,Vetyver,"orange, nutmeg, tarragon, vetiver"
Jo Malone,Vintage Gardenia,"tuberose, sandalwood, gardenia, incense, cardamom, myrrh"
Jo Malone,White Jasmine Mint,"orange blossom, may rose, jasmine, ylang-ylang, lily-of-the-valley, dried plum, musk, tea, guaiac wood, vetiver, cedar, coriander, black currant, mint, chamomile, bergamot, cardamom"
Jo Malone,Wild Bluebell,"jasmine, lily-of-the-valley, rose hip, musk, amber, bellflower, clove"
Jo Malone,Wild Fig Cassis,"hyacinth, cyclamen, jasmine, pine tree, patchouli, cedar, amber, musk, cassis, cherry, grass, fig"
Jo Malone,Wood Sage Sea Salt,"ambrette (musk mallow), sea salt, sage, seaweed, grapefruit"
Jo Malone,Amber Patchouli,"patchouli, guaiac wood, amber"
Jo Malone,Dark Amber Ginger Lily,"jasmine, orchid, water lily, rose, leather, sandalwood, kyara incense (olibanum), patchouli, black amber, black cardamom, ginger, pink pepper"
Jo Malone,Incense Cedrat,"lemon, pepper, elemi, olibanum, labdanum, benzoin"
Jo Malone,Incense Cedrat Limited Edition,"elemi resin, incense, benzoin, olibanum, labdanum, lemon, pepper"
Jo Malone,Iris White Musk,"musk, iris, lily"
Jo Malone,Myrrh Tonka,"myrrh, vanilla, tonka bean, almond, lavender"
Jo Malone,Orris Sandalwood,"violet, galbanum, geranium, orris, cyperus esculentus, labdanum, amber, musk"
Jo Malone,Orris Sandalwood Limited Edition,"violet, galbanum, geranium, orris, cyperus esculentus, labdanum, amber, musk"
Jo Malone,Oud Bergamot,"virginia cedar, bergamot, amalfi lemon, orange, agarwood (oud)"
Jo Malone,Rose Water Vanilla,"loukhoum, patchouli, musk, vanilla, neroli, petitgrain"
Jo Malone,Saffron,"iris, sandalwood, saffron, amber, white musk, guaiac wood, woodsy notes, pink pepper, incense, bergamot"
Jo Malone,Tuberose Angelica,"tuberose, amber, woodsy notes, angelica"
Jo Malone,Tuberose Angelica Limited Edition,"tuberose, amber, woody notes, angelica"
Jo Malone,Velvet Rose Oud,"damask rose, agarwood (oud), praline, clove"
Jo Malone,Iris Lady Moore,"vetiver, iris, geranium"
Jo Malone,Peony Moss,"oak moss, peony, ivy, green notes, black currant"
Jo Malone,White Lilac Rhubarb,"heliotrope, rose, lilac, rhuburb"
Jo Malone,Black Cedarwood Juniper,"juniper, cedar, cumin, chili pepper"
Jo Malone,Rain Angelica,"angelica, vetiver, watery notes, lime"
Jo Malone,White Jasmine Mint,"jasmine, mate, mint"
Jo Malone,Wisteria Violet,"wisteria, violet, patchouli, water lily"
Jo Malone,Darjeeling Tea,"jasmine, freesia, white flowers, artemisia, green accord"
Jo Malone,Golden Needle Tea,"leather, woody notes, spicy notes"
Jo Malone,Jade Leaf Tea,"grapefruit, sesame, olibanum, fir resin, mate"
Jo Malone,Midnight Black Tea,"labdanum, guaiac wood"
Jo Malone,Oolong Tea,"tonka bean, hay, cacao pod, honey, tobacco"
Jo Malone,Silver Needle Tea,"mimosa, rose, musk, herbal notes, bergamot, saffron"
Jo Malone,Birch Black Pepper,"birch, patchouli, gurjan balsam, vanilla, ink, mandarin orange, cardamom, black pepper"
Jo Malone,Geranium Verbena,"geranium, neroli, coumarin, vetiver, patchouli, vanilla, cedar, bergamot, basil, lemon verbena"
Jo Malone,Lily of the Valley Ivy,"lily-of-the-valley, narcissus, beeswax, amber, white musk, ivy, pink grapefruit, black currant"
Jo Malone,Pomegranate Noir,"casablanca lily, jasmine, cloves, incense, pink pepper, guaiac wood, musk, amber, patchouli, pomegranate, raspberry, plum, watermelon, rhubarb"
Jo Malone,Tudor Rose Amber,"damask rose, rose, ginger, amber, white musk, patchouli, pink pepper, cloves"
Jo Malone,Bitter Orange Chocolate,"bitter orange, dark chocolate, coconut, cacao pod, coumarin"
Jo Malone,Elderflower Gooseberry,"gooseberry, litchi, black elder"
Jo Malone,Ginger Biscuit,"cinnamon, nutmeg, ginger, caramel, tonka bean, hazelnut, vanilla"
Jo Malone,Lemon Tart,"citruses, lemon, thyme, lemon verbena, meringue"
Jo Malone,Redcurrant Cream,"red currant, big strawberry, raspberry, musk"
Jo Malone,Assam Grapefruit,"cardamom, rose, tea, musk, patchouli, almond, grapefruit, violet, rhuburb"
Jo Malone,Earl Grey Cucumber,"angelica, cucumber, musk, virginia cedar, beeswax, vanille, jasmine, bergamot, red apple, water notes"
Jo Malone,Fresh Mint Leaf,"jasmine, rhuburb, musk, virginia cedar, holly, bergamot, basil, mint"
Jo Malone,Sweet Lemon,"freesia, peach, pineapple, musk, virginia cedar, cypress, bergamot, amalfi lemon, rhuburb"
Jo Malone,Sweet Milk,"caramel, milk, musk, vanille, almond, bergamot, heliotrope, star anise"
Jo Malone,Blue Hyacinth,"blue hyacinth, geranium, vetiver"
Jo Malone,Garden Lilies,"water lily, green notes, ylang-ylang, white musk, vanilla"
Jo Malone,Leather Artemsia,"absinthe, cypriol oil or nagarmotha, orris root, leather"
Jo Malone,Tobacco Mandarin,"mandarin orange, sage, beeswax, tobacco"
Jo Malone,Whisky Cedarwood,"whiskey, rose, pimento, cedar, beeswax"
Jo Malone,Carrot Blossom Fennel,"carrot, apricot, neroli, rose, violet root, patchouli, white musk, fennel, wormwood"
Jo Malone,Lavender Coriander,"lavender, wormwood, lavender, sage, tonka bean, coriander, juniper"
Jo Malone,Nasturtium Clover,"nasturcia, jasmine, wild orchid, vetiver, amberwood, white musk, clover, bergamot, lemon"
Jo Malone,Sorrel Lemon Thyme,"rosemary, thyme, rumex, geranium, moss, lemon, petitgrain, orange"
Jo Malone,Wild Strawberry Parsley,"wild strawberry, violet leaf, basil, oakmoss, white musk, tomato leaf, black currant, green notes, parsley"
Jo Wood Organics,Amka,"rose, jasmine, cedar, bergamot, mandarin orange, orange, neroli"
Jo Wood Organics,Langa,"neroli, virginia cedar, vanille, amalfi lemon, orange"
Jo Wood Organics,Tula,"jasmine, frangipani, ylang-ylang, sandalwood, anise, white flowers"
Jo Wood Organics,Usiku,"coriander, clove, clary sage, cedar, patchouli, vetiver, rosemary, cardamom, ginger, pineapple"
Joey Essex,Fusey,"sea notes, sandalwood, musk, amber, bergamot, lemon, grapefruit"
Joey Essex,My Girl,"jasmine, rose, tonka bean, cedar, sandalwood, vanilla, apricot, raspberry, bergamot"
John Richmond,John Richmond Eau de Parfum,"magnolia, lily, narcissus, amber, patchouli, sandalwood, grapefruit, pear, blackberry"
John Richmond,John Richmond for Men,"rosemary, cardamom, pepper, melon, musk, virginia cedar, amber, african orange flower, ginger, bergamot"
John Richmond,Richmond X Man,"lavender, pineapple, cashmere wood, cypriol oil or nagarmotha, patchouli, tonka bean, cedar, bergamot, lemon, black pepper, violet leaf"
John Richmond,Richmond X Woman,"freesia, violet, heliotrope, woody notes, cedar, vanilla, apple, raspberry, osmanthus"
John Richmond,Viva Rock,"jasmine, rose, cherry blossom, musk, amber, orris root, mandarin orange, carambola (star fruit), cactus"
Joseph,Joseph de Jour,"jasmine, rose, ylang-ylang, sandalwood, amber, hyacinth, lily-of-the-valley"
Kate Moss,Kate,"peony, violet leaf, jasmine, patchouli, musk, cedar, orange blossom, pink pepper, pineapple"
Kate Moss,Kate by Kate Moss Luxury Edition,"rose, magnolia, forget me not, patchouli, musk, peach, vanilla"
Kate Moss,Kate Summer Time,"rose, peony, wisteria, bellflower, mahogany, tonka bean, musk, neroli, bitter orange, blackberry, galbanum"
Kate Moss,Lilabelle,"jasmine, frangipani, lily, sandalwood, amber, heliotrope, osmanthus, mandarin orange, freesia"
Kate Moss,Lilabelle Truly Adorable,"sweet pea, hawthorn, lily-of-the-valley, almond wood, sandalwood, cashmere musk, red currant, candy apple, ivy"
Kate Moss,Love Blossoms,"jasmine, frangipani, peony, musk, patchouli, vanille, pink pepper, lily-of-the-valley, peach"
Kate Moss,Velvet Hour,"patchouli, nutmeg, sandalwood, woodsy notes, amber, pepper, freesia, incense"
Kate Moss,Vintage,"jasmine, heliotrope, almond blossom, musk, tonka bean, vanilla, mandarin orange, pink pepper, freesia"
Kate Moss,Vintage Muse,"violet, orchid, peony, musk, mexican chocolate, ambergris, black currant, plum, rhuburb, whipped cream"
Kate Moss,Wild Meadow,"honeysuckle, tincture of rose, magnolia, apple tree, benzoin, amber, bergamot, grapefruit, peach"
Katie Price aka Jordan,Besotted,"lily-of-the-valley, vanilla, amber, amalfi lemon, grapefruit"
Katie Price aka Jordan,Kissable,"orange blossom, honeysuckle, jasmine, lily, vanilla, sandalwood, amber, grapes, mandarin orange, plum"
Katie Price aka Jordan,Kissable Fierce,"tuberose, orange blossom, peach blossom, lily, patchouli, amber, musk, vanilla, tonka bean, mandarin orange, blackberry, green leaves, pink pepper"
Katie Price aka Jordan,Precious Love,"jasmine, rose, cotton flower, amber, benzoin, vanille, brazilian rosewood, lime, green notes, musk"
Katie Price aka Jordan,Stunning,"jasmine, patchouli, mandarin orange"
Kelly Brook,Audition,"wisteria, iris, heliotrope, patchouli, amber, musk, vanilla, benzoin, apple, fruits, melon, bergamot"
Kelly Brook,Vivacious,"rose, creme brulee, sandalwood, tonka bean, vanille, black currant, raspberry, mango, tropical fruit"
Kerry Katona,Outrageous,"rose, amber, vanilla, lemon, orange"
Laura Ashley,Dilys,"jasmine, neroli, narcissus, gardenia, rose, lily-of-the-valley, musk, sandalwood, virginia cedar, coriander, peach, plum"
Laura Ashley,Emma,"white rose, gardenia, neroli, pansy, patchouli, agarwood (oud), white woods, white amber, musk, green notes"
Laura Ashley,Exotic Amber,"sandalwood, floral notes, white honey, amber, musk"
Laura Ashley,L Eau,"lavender, carnation, jasmine, lily-of-the-valley, sandalwood, patchouli, oak moss, tonka bean, petitgrain, rosemary, amalfi lemon, mandarin orange"
Laura Ashley,Laura Ashley No 1,"musk, carnation, jasmine, african orange flower, narcissus, gardenia, hyacinth, sandalwood, oak moss, galbanum, clove, cinnamon, vanille, bergamot, rose, peach, basil, orchid, cyclamen"
Laura Ashley,Magic Garden,floral notes
Laurelle London,Always Together,"magnolia, peony, lotus, sandalwood, musk, litchi, violet, sea notes"
Laurelle London,City Girl London,"apple, vanilla, cedar, musk, lemon, lime"
Laurelle London,City Girl Milan,"rose, geranium, musk, vanilla, tonka bean, pear, grapefruit, pepper"
Laurelle London,City Girl New York,"floral notes, musk, sandalwood, kiwi, red litchi"
Laurelle London,City Girl Paris,"vanilla, musk, cedar, sandalwood, honey, orange blossom"
Laurelle London,Definitely Maybe,"pomegranate, yuzu, amber, floral notes"
Laurelle London,Disco Pink,"white chocolate, orchid, vanilla, musk, woody notes, litchi, kiwi"
Laurelle London,Disco Purple,"lily, violet, freesia, sandalwood, white amber, musk, pear, guava, water notes"
Laurelle London,Eternal Love,"rose, italian jasmine, haitian vetiver, bourbon vanilla, white musk, bergamot, orange, grapefruit"
Laurelle London,Executive Man Aqua,"citruses, spicy notes"
Laurelle London,Flutter,floral fruity notes
Laurelle London,Forever Together,"rose, jasmine, white tea, cedar, amber, white musk, pink pepper, apple"
Laurelle London,L Pour Femme,"lilac, peach, incense, patchouli, amber, pink pepper"
Laurelle London,L Pour Homme,"woody notes, pepper"
Laurelle London,Lady Butterfly,"orange blossom, rose, honey"
Laurelle London,Laurelle Rose,"floral notes, rose"
Laurelle London,Les Couleurs No 1,"ginger, nutmeg, pink pepper, sandalwood, cedar, labdanum, patchouli"
Laurelle London,Les Couleurs No 1 Cool Mint,mint
Laurelle London,Les Couleurs No 2,"bay leaf, jasmine, oak, guaiac wood, grapefruit, orange"
Laurelle London,Les Couleurs No 2 Chocolate Orange,"orange, dark chocolate"
Laurelle London,Les Couleurs No 3,"bulgarian rose, nutmeg, clary sage, amber, vanilla, bergamot, lemon verbena"
Laurelle London,Les Couleurs No 3 Cotton Candy,cotton candy
Laurelle London,Les Couleurs No 4,"cinnamon, mint, leather, amber, grapefruit, blood orange"
Laurelle London,Les Couleurs No 4 Hot Chocolate,dark chocolate
Laurelle London,Loves Me Loves Me Not,floral notes
Laurelle London,Momentum,spicy notes
Laurelle London,Momentum Gold,"spicy notes, citruses, fruity notes"
Laurelle London,Sexxy Shoo Black Stiletto,"rose, sandalwood, pink pepper, mandarin orange"
Laurelle London,Sexxy Shoo Jungle,"jasmine, honey, woody notes, musk, apricot, saffron"
Laurelle London,Sexxy Shoo Limited Edition Gold,"bergamot, freesia, jasmine"
Laurelle London,Sexxy Shoo Little Black Shoo,"floral notes, rose, sandalwood, pink pepper, mandarin orange"
Laurelle London,Sexxy Shoo Little White Shoo,"floral fruity notes, patchouli, vanilla, fruity notes"
Laurelle London,Sexxy Shoo Neon Nights Miami Yellow,"peach, sweet notes, coconut, sandalwood, musk, pineapple, papaya, mandarin orange"
Laurelle London,Sexxy Shoo Neon Nights Pink,"freesia, lily-of-the-valley, white musk, amber, pear, papaya, pomegranate"
Laurelle London,Sexxy Shoo Neon Nights Vegas Orange,"raspberry, nectarine, orange, coconut, musk"
Laurelle London,Sexxy Shoo Pink,"vanilla orchid, magnolia, honeysuckle, almond, amber, passionfruit, sorbet, mango blossom, peach"
Laurelle London,Sexxy Shoo Purple Stiletto,"blood grapefruit, pear, pink pepper"
Laurelle London,Sexxy Shoo Red,"jasmine, rose, vanilla, patchouli, bergamot, orange, peach"
Laurelle London,Sexxy Shoo Silver,"rose, amber, orange blossom"
Laurelle London,Sexxy Shoo Wild Stripes,"jasmine, lily-of-the-valley, musk, patchouli"
Laurelle London,Sphere Pour Femme,"jasmine, patchouli, honey, orange blossom"
Laurelle London,Sphere Pour Homme,"rose, cinnamon, spices, leather, white woods, patchouli, amber, grapefruit, blood orange, mint"
Laurelle London,Sphere Sport,"floral fruity notes, rose, lily-of-the-valley"
Laurelle London,The Mortal Instruments City of Bones Angelic Power,"white flowers, rose, sandalwood, musk, vanilla"
Laurelle London,The Mortal Instruments City of Bones Strength,"peach, musk, vanilla, apple blossom, dewberry, raspberry"
Laurelle London,Thomas Black Tous Les Jours,"orange, petitgrain, coumarin"
Laurelle London,Together Forever,"floral notes, amber, patchouli, citruses, pink pepper"
Laurelle London,Truly Lovely,floral notes
Lee Cooper Originals,Gentlemen,"nutmeg, ginger, cinnamon, musk, amber, leather, citruses, rosemary, cardamom"
Lee Cooper Originals,Ladies,"peony, mandarin blossom, freesia, sandalwood, patchouli, vanille, yuzu, red currant, litchi"
Lee Cooper Originals,London Spirit For Men,"rose, vanilla, sandalwood, musk, bergamot, apple blossom, basil"
Lee Cooper Originals,London Spirit For Women,"camellia, watermelon, red berries, lily, white woods, musk, bergamot, apple, gardenia"
Lee Cooper Originals,RDLC for Men,"cinnamon, anise, woodsy notes, amber, musk, bergamot, red apple"
Lee Cooper Originals,RDLC for Women,"lily-of-the-valley, violet, peony, patchouli, virginia cedar, red apple, melon"
Lentheric,Hallmark,"oakmoss, bergamot, lavender"
Lentheric,Lentheric Masculin,"woody notes, green notes, citruses"
Lentheric,Lentheric Masculin Fearless,"mandarin orange, woody notes, green notes"
Lentheric,Lentheric Masculin Invincible,"citruses, green notes, woody notes"
Lentheric,Mystique,"jasmine, rose, lavender, ylang-ylang, sandalwood, musk, pink pepper, bergamot"
Lentheric,Panache Classique,"jasmine, lily-of-the-valley, rose, oakmoss, cedar, musk, aldehydes, bergamot, orange"
Lentheric,Panache Gold,"woody notes, citruses, aldehydes, orange blossom, vanilla, musk, sandalwood, floral notes"
Lentheric,Panache La Belle Vie,"jasmine, frangipani, amber, mandarin orange, bergamot, orange blossom"
Lentheric,Panache Memoir,"floral notes, fruity notes"
Lentheric,Panache Original,"rose, ylang-ylang, jasmine, iris, lily, geranium, oakmoss, musk, myrrh, sandalwood, orange, lemon, coriander, thyme, aldehydes"
Lentheric,Style,"fruity notes, floral notes, woody notes, oakmoss"
Lentheric,Tweed,"lavender, jasmine, orange blossom, ylang-ylang, oakmoss, patchouli, sandalwood, vetiver, benzoin, vanilla, bergamot, cinnamon, geranium"
Les Fleurs De Bach,Presence s de Bach,"honeysuckle, rose hip, pine, oak, apple, lemon verbena, white flowers"
Les Fleurs De Bach,Vivacite s de Bach,"chestnut, olive, larch, spicy notes, cornflower or sultan seeds, gorse"
Les Fleurs De Bach,Allegresse,"lemon verbena, woodsy notes, oak, bergamot"
Les Fleurs De Bach,Audace,"ylang-ylang, spices, frangipani"
Les Fleurs De Bach,Harmonie,"black fig, vanille, watermelon"
Lipsy,Caged,"lily, patchouli, sandalwood, vanilla, amber, musk, incense, pink pepper, grapefruit, tuberose, gardenia, freesia"
Lipsy,Glam,"orchid, jasmine, peony, amaryllis, incense, fruity notes, honey"
Lipsy,Lipsy,"rose, jasmine, violet, , bitter orange, mandarin orange, pear, ginger"
Lipsy,Lipsy London Love,"ylang-ylang, magnolia, jasmine, cedar, musk, iris, rose, orange blossom, lemon"
Little Mix,Gold Magic,"violet, watermelon, musk, lemon, apple, raspberry"
Little Mix,Wishmaker,"neroli, freesia, toffee, sweet notes, vanilla, sandalwood, apricot"
Liz Earle,Botanical Essence No 100,"damask rose, orange blossom, jasmine, cypress, sandalwood, vanilla, mandarin orange, bergamot"
Liz Earle,Botanical Essence No 1,"lavender, geranium, nutmeg, coriander, rose, vetyver, patchouli, virginia cedar, tonka bean, cardamom, bergamot, amalfi lemon, bitter orange, mandarin orange"
Liz Earle,Botanical Essence No 15,"damask rose, virginian cedar, sandalwood, patchouli, cypriol oil or nagarmotha, vetiver, siam benzoin, tonka bean, guaiac wood, bourbon vanilla, pink pepper, cinnamon, elemi, bergamot, clove"
Lucy Mecklenburgh,Wings,"freesia, jasmine, gardenia, vanilla, patchouli, musk, tangerine, nectarine, black currant, bergamot"
Lulu Guinness,Cast A Spell,"lily, amber, lavender, fig leaf, blueberry, blackberry, patchouli, red currant"
Lulu Guinness,Fairytales,"jasmine, magnolia, strawberry leaf, cacao, caramel, grapefruit, black currant, raspberry"
Lulu Guinness,Life s a Bed of Roses,"may rose, turkish rose, french rose, rose, heliotrope, orris root, ambrette (musk mallow), vetiver, violet leaf, litchi, sweet pea, lilac"
Lulu Guinness,Lulu Guinness,"clementine, cassis, apple blossom, sweet pea, lily-of-the-valley, lily, amaryllis, bellflower, narcissus, jasmine"
Lulu Guinness,Pink Pearls,"apricot, pink tulip, sandalwood, amber, tonka bean, african orange flower, grapefruit, tangerine"
Lush,25 43,"lime, tonka bean, caramel, hay, vanilla, lemongrass, ylang-ylang, myrtle"
Lush,29 High Street,"green notes, floral fruity notes, sweet notes, caramel, honey"
Lush,American Cream,"orange, big strawberry, vanille, milk, white honey"
Lush,Big,"african orange flower, neroli, vanille, mandarin orange"
Lush,Black Pearl,"chamomile, lavender, myrhh, olibanum"
Lush,Calacas,"lime, sweet notes, neroli, olibanum"
Lush,Candy Fluff,"musk, sweet notes"
Lush,Celebrate,"brazilian orange, lime, cognac"
Lush,Cinders,"cinnamon, orange, almond"
Lush,Creamy Candy,vanilla absolute
Lush,Dad s Garden Lemon Tree,"citruses, petitgrain"
Lush,Day of the Dead,"neroli, incense, lime"
Lush,Flower Market,"carnation, ylang-ylang, galbanum, violet"
Lush,Go Green,"sandalwood, artemisia, tarragon, caraway, violet leaf, grapefruit, oakmoss, vetiver, neroli, cedar, bergamot"
Lush,Honey I Washed the Kids,"bergamot, orange, white honey, caramel"
Lush,Jungle,"ylang-ylang, cedar, vetiver, cypress"
Lush,Lord of Goathorn,"seaweed, basil, tarragon, licorice"
Lush,Lord of Misrule,"black pepper, patchouli, vanilla"
Lush,Olive Branch,"bergamot, amalfi lemon, orange, mandarin orange"
Lush,Ponche,"petitgrain, buchu or agathosma, artemisia, fruits, red berries, plum"
Lush,Princess Cottongrass,"pine tree, neroli, nettle, violet leaf, canadian balsam, lemon, cloves, fruity notes, geranium"
Lush,Rose Jam,"rose, geranium, lemon, tonka bean"
Lush,Rose Jam,"rose, turkish rose, geranium, lemon"
Lush,Snow Fairy,"pear, sweet notes, cotton candy, vanilla, cherry"
Lush,Snowcake,"benzoin, rose, black currant, marzipan"
Lush,Snowcake,"marzipan, benzoin, rose, cassia, almond"
Lush,So White,"neroli, bergamot, orange, tincture of rose, red apple"
Lush,Stayin Alive,"madagascar vetiver, sandalwood, vanilla, olibanum, lemon, floral notes, cinnamon"
Lush,The Comforter,"black currant, bergamot, cypress"
Lush,Tramp,"patchouli, moss"
Lush,Twilight,"lavender, ylang-ylang, tonka bean, benzoin"
Lush,Uptown Funk,"neroli, bergamot, lemon"
Lush,Yog Nog,"ylang-ylang, clove"
Lush,1000 Kisses,"osmanthus, mandarin orange, apricot, resin, myrrh, labdanum, citruses, caraway, geranium"
Lush,All Good Things,"rose, cedar, tonka bean, juniper, citruses, star anise, coumarin"
